"","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","High_income"
"1","Buildings","BuildingEnergyCodes","CHN",1997,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"2","Electricity","AirEmissionStandards","RUS",1997,3,"NMBI","Performance Standards",3,0,0,1,0,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"3","Electricity","AirEmissionStandards","CZE",1997,3,"NMBI","Performance Standards",2,0,0,1,0,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"4","Industry","MEPS electric motors","CAN",1997,7,"NMBI","Performance Standards",7,0,0,1,0,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"5","Buildings","BuildingEnergyCodes","PRT",1998,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"6","Buildings","BuildingEnergyCodes","HUN",1998,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"7","Buildings","Labels Appliances","NZL",1998,3,"NMBI","Information",3,3,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"8","Buildings","Labels Appliances","BRA",1998,5,"NMBI","Information",5,5,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"9","Buildings","MEPS of appliances","MEX",1998,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"10","Buildings","MEPS of appliances","JPN",1998,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"11","Transport","Investment in Rail Infrastructure","PRT",1998,7,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"12","Transport","Investment in Rail Infrastructure","MEX",1998,5,"NMBI","Other NMBI",2,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",0
"13","Transport","Investment in Rail Infrastructure","HUN",1998,6,"NMBI","Other NMBI",2,-2,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"14","Transport","Labels Passenger Cars","JPN",1998,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"15","Buildings","BuildingEnergyCodes","FIN",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"16","Buildings","BuildingEnergyCodes","TUR",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"17","Buildings","MEPS of appliances","JPN",1999,8,"NMBI","Performance Standards",5,8,0,1,0,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"18","Buildings","MEPS of appliances","AUS",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"19","Electricity","AirEmissionStandards","JPN",1999,5,"NMBI","Performance Standards",2,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"20","Transport","Excise Tax Transport","KOR",1999,5,"MBI","Carbon Pricing",2,1,0,1,0,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",0
"21","Transport","Investment in Rail Infrastructure","RUS",1999,8,"NMBI","Other NMBI",2,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",0
"22","Transport","Investment in Rail Infrastructure","ITA",1999,7,"NMBI","Other NMBI",2,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"23","Transport","Investment in Rail Infrastructure","DEU",1999,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"24","Transport","Investment in Rail Infrastructure","HUN",1999,8,"NMBI","Other NMBI",2,4,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"25","Transport","Investment in Rail Infrastructure","ESP",1999,5,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"26","Transport","Labels Passenger Cars","NLD",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"27","Transport","Labels Passenger Cars","DNK",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"28","Transport","Labels Passenger Cars","ITA",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"29","Transport","Labels Passenger Cars","IRL",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"30","Transport","Labels Passenger Cars","DEU",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"31","Transport","Labels Passenger Cars","PRT",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
